日付,レース場,レース番号,締切予定時刻,ステータス,艇番,選手名,級別,支部,全国勝率,全国2連率,当地勝率,当地2連率,モーター番号,モーター2連率,ボート番号,ボート2連率,体重,年齢,進入
2025-04-07,平和島,1,11:04,投票,1,田代達也,B1,東京,3.63,16.92,4.0,24.14,58,34.88,56,32.08,52.2,33,
2025-04-07,平和島,1,11:04,投票,2,中野夢斗,B1,愛知,3.89,24.62,4.31,22.86,44,36.9,22,45.3,52.7,28,
2025-04-07,平和島,1,11:04,投票,3,伊藤喜智,B1,大阪,5.18,31.0,5.9,45.0,33,42.2,14,33.13,52.1,39,
2025-04-07,平和島,1,11:04,投票,4,井田涼介,B2,群馬,1.17,0.0,0.0,0.0,30,35.33,27,30.18,62.3,21,
2025-04-07,平和島,1,11:04,投票,5,山下昂大,B1,岡山,5.3,31.46,6.0,45.45,56,29.76,21,32.92,52.3,32,
2025-04-07,平和島,1,11:04,投票,6,滝沢芳行,A2,埼玉,4.91,31.65,5.88,44.0,53,34.3,55,41.3,51.0,56,
2025-04-07,平和島,2,11:31,投票,1,塚田修二,B1,東京,4.15,19.23,3.67,16.67,27,36.16,37,34.24,54.9,57,
2025-04-07,平和島,2,11:31,投票,2,小坂風太,B1,福井,4.49,19.23,4.5,20.0,20,33.33,60,37.66,53.1,24,
2025-04-07,平和島,2,11:31,投票,3,西尾亮輔,B1,愛知,3.97,16.09,4.07,28.57,36,40.24,70,28.75,52.0,36,
2025-04-07,平和島,2,11:31,投票,4,金子拓矢,A1,群馬,6.92,55.13,6.0,38.71,74,29.34,74,22.92,52.2,41,
2025-04-07,平和島,2,11:31,投票,5,後藤孝義,B2,静岡,3.59,12.24,3.79,17.86,10,32.34,15,43.45,52.3,56,
2025-04-07,平和島,2,11:31,投票,6,森照夫,B1,福岡,4.63,29.63,0.0,0.0,73,34.13,53,32.52,53.2,36,
2025-04-07,平和島,3,11:58,投票,1,國崎良春,B1,福岡,5.28,36.27,5.56,38.89,24,46.75,24,26.25,52.8,50,
2025-04-07,平和島,3,11:58,投票,2,花田和明,B1,愛知,5.18,33.33,0.0,0.0,68,33.91,10,28.82,52.7,55,
2025-04-07,平和島,3,11:58,投票,3,伊藤将吉,A1,静岡,7.1,56.36,6.78,55.56,70,35.26,26,35.47,52.3,46,
2025-04-07,平和島,3,11:58,投票,4,牧村俊輝,B2,愛知,1.72,0.0,1.4,0.0,26,38.24,73,33.73,52.5,21,
2025-04-07,平和島,3,11:58,投票,5,中村真,A2,福岡,5.25,31.65,5.17,38.89,32,29.24,29,23.38,53.2,52,
2025-04-07,平和島,3,11:58,投票,6,夏山亮平,B1,大阪,5.2,39.19,5.14,37.93,38,38.73,67,37.65,55.4,38,
2025-04-07,平和島,4,12:25,投票,1,星栄爾,A2,静岡,5.59,35.34,5.7,50.0,13,30.54,54,33.96,53.5,39,
2025-04-07,平和島,4,12:25,投票,2,松村康太,A2,福井,6.29,40.19,4.38,12.5,65,31.98,75,34.78,52.8,41,
2025-04-07,平和島,4,12:25,投票,3,西川新太郎,B1,愛知,5.25,32.95,0.0,0.0,29,46.24,28,31.93,54.7,45,
2025-04-07,平和島,4,12:25,投票,4,坂元浩仁,A1,愛知,6.19,42.37,6.29,42.86,62,33.93,71,34.51,53.6,39,
2025-04-07,平和島,4,12:25,投票,5,細川明人,B1,岡山,3.88,21.05,0.0,0.0,40,40.35,46,35.36,55.8,50,
2025-04-07,平和島,4,12:25,投票,6,坂口貴彦,B1,岡山,4.57,26.67,5.15,41.18,19,47.9,69,36.26,52.7,35,
2025-04-07,平和島,5,12:54,投票,1,大橋純一郎,A1,静岡,6.2,44.35,6.28,43.75,21,41.32,16,30.18,52.2,44,
2025-04-07,平和島,5,12:54,投票,2,田中宏典,B1,佐賀,4.62,26.76,0.0,0.0,50,27.98,17,28.31,54.1,25,
2025-04-07,平和島,5,12:54,投票,3,中野夢斗,B1,愛知,3.89,24.62,4.31,22.86,44,36.9,22,45.3,52.7,28,
2025-04-07,平和島,5,12:54,投票,4,岡部大輔,B1,佐賀,5.42,38.54,4.0,20.0,12,36.9,20,33.33,52.3,44,
2025-04-07,平和島,5,12:54,投票,5,大塚康雅,B1,東京,5.02,31.76,4.35,22.58,16,28.48,13,32.2,51.0,30,
2025-04-07,平和島,5,12:54,投票,6,鶴本崇文,A2,大阪,6.46,45.61,7.59,65.52,11,25.61,18,30.25,52.2,39,
