日付,レース場,レース番号,締切予定時刻,ステータス,艇番,選手名,級別,支部,全国勝率,全国2連率,当地勝率,当地2連率,モーター番号,モーター2連率,ボート番号,ボート2連率,体重,年齢,進入
2025-04-04,桐生,1,15:17,,1,岩崎麗子,B2,群馬,1.48,1.19,1.25,0.0,44,32.73,57,35.82,48.9,23,
2025-04-04,桐生,1,15:17,,2,鎌倉涼,A1,大阪,6.26,47.5,7.67,77.78,34,28.57,70,32.39,46.0,35,
2025-04-04,桐生,1,15:17,,3,道上千夏,B1,香川,4.63,25.93,3.75,12.5,72,23.33,58,38.57,49.9,53,
2025-04-04,桐生,1,15:17,,4,松尾怜実,B1,福岡,3.43,9.09,4.93,33.33,18,22.45,45,38.81,46.0,25,
2025-04-04,桐生,1,15:17,,5,大石真央,B1,静岡,4.0,18.39,5.2,20.0,57,16.13,62,37.7,46.0,26,
2025-04-04,桐生,1,15:17,,6,高橋涼夏,B2,群馬,1.15,0.0,1.17,0.0,17,7.89,68,42.62,46.5,17,
2025-04-04,桐生,2,15:40,,1,登みひ果,B1,兵庫,4.24,25.29,2.61,11.11,60,34.0,72,42.47,46.5,25,
2025-04-04,桐生,2,15:40,,2,松本晶恵,A2,群馬,4.98,34.88,7.62,66.0,19,17.65,34,33.33,48.3,37,
2025-04-04,桐生,2,15:40,,3,井上未都,B1,福岡,4.41,25.23,3.8,10.0,11,25.42,43,44.07,46.5,22,
2025-04-04,桐生,2,15:40,,4,岩崎芳美,A2,徳島,5.94,39.51,6.57,52.38,23,22.22,67,42.25,48.1,52,
2025-04-04,桐生,2,15:40,,5,西澤日花里,B1,長崎,4.88,30.43,4.2,20.0,59,29.27,25,33.82,47.0,30,
2025-04-04,桐生,2,15:40,,6,石村日奈那,B2,東京,1.27,1.96,0.0,0.0,12,48.39,73,41.43,47.0,23,
2025-04-04,桐生,3,16:06,,1,河内悠利杏,B1,群馬,2.19,0.0,1.58,0.0,21,28.89,39,22.73,47.5,21,
2025-04-04,桐生,3,16:06,,2,櫻本あゆみ,A2,群馬,5.96,46.43,6.71,53.85,49,32.2,52,40.32,47.4,37,
2025-04-04,桐生,3,16:06,,3,平川香織,B1,埼玉,5.16,33.33,5.1,30.0,43,17.07,59,30.99,47.0,24,
2025-04-04,桐生,3,16:06,,4,関野文,A1,大阪,5.7,38.79,6.1,50.0,15,18.42,46,38.46,45.5,31,
2025-04-04,桐生,3,16:06,,5,濱崎寿里矢,B2,埼玉,1.94,3.23,0.0,0.0,22,17.78,22,22.54,49.0,31,
2025-04-04,桐生,3,16:06,,6,高憧四季,B1,大阪,6.52,47.22,0.0,0.0,27,27.5,48,23.73,44.5,25,
2025-04-04,桐生,4,16:32,,1,山崎小葉音,A2,群馬,4.6,28.57,5.59,44.44,74,33.33,29,38.71,44.0,24,
2025-04-04,桐生,4,16:32,,2,落合直子,A2,大阪,5.37,39.22,6.5,50.0,54,35.19,23,35.21,47.4,40,
2025-04-04,桐生,4,16:32,,3,大廣咲季,B1,香川,3.03,9.8,1.67,0.0,75,16.22,28,32.88,47.0,25,
2025-04-04,桐生,4,16:32,,4,野田部宏子,B1,福岡,5.35,38.1,4.0,33.33,56,40.91,18,35.71,51.6,34,
2025-04-04,桐生,4,16:32,,5,福山恵里奈,B1,山口,3.89,17.46,0.0,0.0,41,27.12,37,34.78,48.0,28,
2025-04-04,桐生,4,16:32,,6,佐々木裕美,A2,山口,4.58,30.61,7.5,65.0,32,27.66,40,40.58,47.0,45,
2025-04-04,桐生,5,17:01,,1,高橋淳美,B2,大阪,2.92,7.69,5.4,30.0,48,22.92,15,33.96,46.5,61,
2025-04-04,桐生,5,17:01,,2,川井萌,A1,静岡,6.21,46.88,3.53,23.53,30,52.63,44,20.0,45.5,23,
2025-04-04,桐生,5,17:01,,3,日高逸子,A2,福岡,5.63,40.91,6.1,50.0,53,32.08,13,34.62,45.0,63,
2025-04-04,桐生,5,17:01,,4,黒澤めぐみ,A2,東京,5.76,40.43,5.37,31.58,13,27.78,21,44.29,47.0,35,
2025-04-04,桐生,5,17:01,,5,高橋涼夏,B2,群馬,1.15,0.0,1.17,0.0,17,7.89,68,42.62,46.5,17,
2025-04-04,桐生,5,17:01,,6,飯塚響,B2,群馬,3.69,15.38,2.91,11.76,37,32.76,17,29.69,45.5,25,
2025-04-04,桐生,6,17:29,,1,長嶋万記,A1,静岡,6.33,44.09,0.0,0.0,20,33.33,75,33.8,48.9,43,
2025-04-04,桐生,6,17:29,,2,湯淺紀香,B1,群馬,5.15,33.33,4.52,24.64,35,41.18,55,41.43,47.0,26,
2025-04-04,桐生,6,17:29,,3,山川波乙,B2,三重,4.28,19.44,6.4,50.0,51,55.36,66,15.94,46.0,27,
2025-04-04,桐生,6,17:29,,4,西岡育未,B1,徳島,3.94,11.76,5.22,33.33,28,38.3,60,22.58,47.0,30,
2025-04-04,桐生,6,17:29,,5,石村日奈那,B2,東京,1.27,1.96,0.0,0.0,12,48.39,73,41.43,47.0,23,
2025-04-04,桐生,6,17:29,,6,道上千夏,B1,香川,4.63,25.93,3.75,12.5,72,23.33,58,38.57,49.9,53,
2025-04-04,桐生,7,17:57,,1,前田紗希,A1,埼玉,5.48,37.93,5.37,31.58,42,18.87,36,32.81,46.0,32,
2025-04-04,桐生,7,17:57,,2,井上未都,B1,福岡,4.41,25.23,3.8,10.0,11,25.42,43,44.07,46.5,22,
2025-04-04,桐生,7,17:57,,3,守屋美穂,A1,岡山,7.52,63.55,8.05,78.95,16,36.84,42,27.59,45.5,36,
2025-04-04,桐生,7,17:57,,4,中曽瑠華,B2,東京,1.87,0.0,1.61,0.0,68,19.15,47,35.21,53.9,24,
2025-04-04,桐生,7,17:57,,5,河内悠利杏,B1,群馬,2.19,0.0,1.58,0.0,21,28.89,39,22.73,47.5,21,
2025-04-04,桐生,7,17:57,,6,森陽多,B1,長崎,2.77,9.52,0.0,0.0,24,18.18,35,29.85,47.0,20,
2025-04-04,桐生,8,18:25,,1,野田彩加,A2,山口,4.54,23.36,0.0,0.0,50,26.83,50,27.78,50.0,21,
2025-04-04,桐生,8,18:25,,2,登みひ果,B1,兵庫,4.24,25.29,2.61,11.11,60,34.0,72,42.47,46.5,25,
2025-04-04,桐生,8,18:25,,3,岩崎麗子,B2,群馬,1.48,1.19,1.25,0.0,44,32.73,57,35.82,48.9,23,
2025-04-04,桐生,8,18:25,,4,高憧四季,B1,大阪,6.52,47.22,0.0,0.0,27,27.5,48,23.73,44.5,25,
2025-04-04,桐生,8,18:25,,5,清埜翔子,A2,埼玉,5.19,35.96,5.4,43.33,29,35.38,27,33.33,47.0,33,
2025-04-04,桐生,8,18:25,,6,野田部宏子,B1,福岡,5.35,38.1,4.0,33.33,56,40.91,18,35.71,51.6,34,
2025-04-04,桐生,9,18:54,,1,坂野さくら,B1,福井,4.89,29.03,3.5,18.75,14,35.59,12,41.79,47.0,28,
2025-04-04,桐生,9,18:54,,2,日高逸子,A2,福岡,5.63,40.91,6.1,50.0,53,32.08,13,34.62,45.0,63,
2025-04-04,桐生,9,18:54,,3,金田幸子,A2,岡山,5.55,39.66,4.33,33.33,64,25.93,61,34.78,44.0,45,
2025-04-04,桐生,9,18:54,,4,濱崎寿里矢,B2,埼玉,1.94,3.23,0.0,0.0,22,17.78,22,22.54,49.0,31,
2025-04-04,桐生,9,18:54,,5,大廣咲季,B1,香川,3.03,9.8,1.67,0.0,75,16.22,28,32.88,47.0,25,
2025-04-04,桐生,9,18:54,,6,松尾怜実,B1,福岡,3.43,9.09,4.93,33.33,18,22.45,45,38.81,46.0,25,
2025-04-04,桐生,10,19:24,,1,間庭菜摘,B1,福岡,4.85,20.45,0.0,0.0,26,28.26,63,22.39,47.0,32,
2025-04-04,桐生,10,19:24,,2,岩崎芳美,A2,徳島,5.94,39.51,6.57,52.38,23,22.22,67,42.25,48.1,52,
2025-04-04,桐生,10,19:24,,3,佐々木裕美,A2,山口,4.58,30.61,7.5,65.0,32,27.66,40,40.58,47.0,45,
2025-04-04,桐生,10,19:24,,4,奥村明日香,B1,福岡,4.35,23.53,3.0,0.0,55,28.89,69,18.33,45.0,23,
2025-04-04,桐生,10,19:24,,5,西岡育未,B1,徳島,3.94,11.76,5.22,33.33,28,38.3,60,22.58,47.0,30,
2025-04-04,桐生,10,19:24,,6,山下奈緒,B1,大阪,4.15,12.77,0.0,0.0,70,33.85,51,38.57,47.7,29,
2025-04-04,桐生,11,19:57,,1,関野文,A1,大阪,5.7,38.79,6.1,50.0,15,18.42,46,38.46,45.5,31,
2025-04-04,桐生,11,19:57,,2,黒澤めぐみ,A2,東京,5.76,40.43,5.37,31.58,13,27.78,21,44.29,47.0,35,
2025-04-04,桐生,11,19:57,,3,鎌倉涼,A1,大阪,6.26,47.5,7.67,77.78,34,28.57,70,32.39,46.0,35,
2025-04-04,桐生,11,19:57,,4,守屋美穂,A1,岡山,7.52,63.55,8.05,78.95,16,36.84,42,27.59,45.5,36,
2025-04-04,桐生,11,19:57,,5,山崎小葉音,A2,群馬,4.6,28.57,5.59,44.44,74,33.33,29,38.71,44.0,24,
2025-04-04,桐生,11,19:57,,6,松本晶恵,A2,群馬,4.98,34.88,7.62,66.0,19,17.65,34,33.33,48.3,37,
2025-04-04,桐生,12,20:30,,1,川井萌,A1,静岡,6.21,46.88,3.53,23.53,30,52.63,44,20.0,45.5,23,
2025-04-04,桐生,12,20:30,,2,清埜翔子,A2,埼玉,5.19,35.96,5.4,43.33,29,35.38,27,33.33,47.0,33,
2025-04-04,桐生,12,20:30,,3,長嶋万記,A1,静岡,6.33,44.09,0.0,0.0,20,33.33,75,33.8,48.9,43,
2025-04-04,桐生,12,20:30,,4,前田紗希,A1,埼玉,5.48,37.93,5.37,31.58,42,18.87,36,32.81,46.0,32,
2025-04-04,桐生,12,20:30,,5,落合直子,A2,大阪,5.37,39.22,6.5,50.0,54,35.19,23,35.21,47.4,40,
2025-04-04,桐生,12,20:30,,6,櫻本あゆみ,A2,群馬,5.96,46.43,6.71,53.85,49,32.2,52,40.32,47.4,37,
2025-04-04,戸田,1,10:47,,1,吉田彩乃,B1,静岡,4.57,26.67,3.71,25.0,34,25.69,18,42.22,47.8,24,
2025-04-04,戸田,1,10:47,,2,中嶋達也,B1,兵庫,4.41,24.55,4.2,26.67,27,36.02,31,30.71,54.3,37,
2025-04-04,戸田,1,10:47,,3,池本輝明,B1,広島,4.67,23.28,4.83,25.0,2,33.1,33,23.88,51.0,58,
2025-04-04,戸田,1,10:47,,4,山地正樹,B1,岡山,5.04,29.46,3.67,22.22,20,37.86,64,37.06,55.6,48,
2025-04-04,戸田,1,10:47,,5,佐竹太一,B1,兵庫,4.72,26.36,3.5,22.73,11,35.92,30,35.86,52.2,38,
