日付,レース場,レース番号,締切予定時刻,ステータス,艇番,選手名,級別,支部,全国勝率,全国2連率,当地勝率,当地2連率,モーター番号,モーター2連率,ボート番号,ボート2連率,体重,年齢,進入
2025-04-03,桐生,1,15:17,投票,1,飯塚響,B2,群馬,3.69,15.38,2.91,11.76,37,32.76,17,29.69,45.0,25,
2025-04-03,桐生,1,15:17,投票,2,佐々木裕美,A2,山口,4.58,30.61,7.5,65.0,32,27.66,40,40.58,47.5,45,
2025-04-03,桐生,1,15:17,投票,3,湯淺紀香,B1,群馬,5.15,33.33,4.52,24.64,35,41.18,55,41.43,47.0,26,
2025-04-03,桐生,1,15:17,投票,4,中曽瑠華,B2,東京,1.87,0.0,1.61,0.0,68,19.15,47,35.21,54.1,24,
2025-04-03,桐生,1,15:17,投票,5,石村日奈那,B2,東京,1.27,1.96,0.0,0.0,12,48.39,73,41.43,47.2,23,
2025-04-03,桐生,1,15:17,投票,6,日高逸子,A2,福岡,5.63,40.91,6.1,50.0,53,32.08,13,34.62,45.0,63,
2025-04-03,桐生,2,15:40,投票,1,野田部宏子,B1,福岡,5.35,38.1,4.0,33.33,56,40.91,18,35.71,51.1,34,
2025-04-03,桐生,2,15:40,投票,2,福山恵里奈,B1,山口,3.89,17.46,0.0,0.0,41,27.12,37,34.78,48.1,28,
2025-04-03,桐生,2,15:40,投票,3,岩崎芳美,A2,徳島,5.94,39.51,6.57,52.38,23,22.22,67,42.25,48.1,52,
2025-04-03,桐生,2,15:40,投票,4,金田幸子,A2,岡山,5.55,39.66,4.33,33.33,64,25.93,61,34.78,44.0,45,
2025-04-03,桐生,2,15:40,投票,5,間庭菜摘,B1,福岡,4.85,20.45,0.0,0.0,26,28.26,63,22.39,47.0,32,
2025-04-03,桐生,2,15:40,投票,6,大石真央,B1,静岡,4.0,18.39,5.2,20.0,57,16.13,62,37.7,46.0,26,
2025-04-03,桐生,3,16:06,投票,1,奥村明日香,B1,福岡,4.35,23.53,3.0,0.0,55,28.89,69,18.33,45.0,23,
