日付,レース場,レース番号,締切予定時刻,ステータス,艇番,選手名,級別,支部,全国勝率,当地勝率,モーター番号,モーター2連率,ボート番号,ボート2連率,展示タイム,体重,年齢,進入,ST
2025-04-01,桐生,1,15:17,発売終了,1,濱崎寿里矢,B2,埼玉,1.94,0.0,22,17.78,22,22.54,,49.1,31,,
2025-04-01,桐生,1,15:17,発売終了,2,岩崎芳美,A2,徳島,5.94,6.57,23,22.22,67,42.25,,48.4,52,,
2025-04-01,桐生,1,15:17,発売終了,3,山下奈緒,B1,大阪,4.15,0.0,70,33.85,51,38.57,,47.6,29,,
2025-04-01,桐生,1,15:17,発売終了,4,松尾怜実,B1,福岡,3.43,4.93,18,22.45,45,38.81,,46.0,25,,
2025-04-01,桐生,1,15:17,発売終了,5,高橋涼夏,B2,群馬,1.15,1.17,17,7.89,68,42.62,,46.0,17,,
2025-04-01,桐生,1,15:17,発売終了,6,森陽多,B1,長崎,2.77,0.0,24,18.18,35,29.85,,47.2,20,,
2025-04-01,桐生,2,15:40,発売終了,1,福山恵里奈,B1,山口,3.89,0.0,41,27.12,37,34.78,,48.1,28,,
2025-04-01,桐生,2,15:40,発売終了,2,山崎小葉音,A2,群馬,4.6,5.59,74,33.33,29,38.71,,43.5,24,,
2025-04-01,桐生,2,15:40,発売終了,3,清埜翔子,A2,埼玉,5.19,5.4,29,35.38,27,33.33,,47.0,33,,
2025-04-01,桐生,2,15:40,発売終了,4,高憧四季,B1,大阪,6.52,0.0,27,27.5,48,23.73,,44.5,25,,
2025-04-01,桐生,2,15:40,発売終了,5,山川波乙,B2,三重,4.28,6.4,51,55.36,66,15.94,,46.0,27,,
2025-04-01,桐生,2,15:40,発売終了,6,西岡育未,B1,徳島,3.94,5.22,28,38.3,60,22.58,,46.5,30,,
2025-04-01,桐生,3,16:06,発売終了,1,湯淺紀香,B1,群馬,5.15,4.52,35,41.18,55,41.43,,47.1,26,,
2025-04-01,桐生,3,16:06,発売終了,2,高橋淳美,B2,大阪,2.92,5.4,48,22.92,15,33.96,,45.5,61,,
2025-04-01,桐生,3,16:06,発売終了,3,間庭菜摘,B1,福岡,4.85,0.0,26,28.26,63,22.39,,47.4,32,,
2025-04-01,桐生,3,16:06,発売終了,4,中曽瑠華,B2,東京,1.87,1.61,68,19.15,47,35.21,,53.6,24,,
2025-04-01,桐生,3,16:06,発売終了,5,野田彩加,A2,山口,4.54,0.0,50,26.83,50,27.78,,50.2,21,,
2025-04-01,桐生,3,16:06,発売終了,6,前田紗希,A1,埼玉,5.48,5.37,42,18.87,36,32.81,,46.5,32,,
2025-04-01,桐生,4,16:32,発売終了,1,井上未都,B1,福岡,4.41,3.8,11,25.42,43,44.07,,46.0,22,,
2025-04-01,桐生,4,16:32,発売終了,2,大石真央,B1,静岡,4.0,5.2,57,16.13,62,37.7,,46.0,26,,
2025-04-01,桐生,4,16:32,発売終了,3,鎌倉涼,A1,大阪,6.26,7.67,34,28.57,70,32.39,,45.5,35,,
2025-04-01,桐生,4,16:32,発売終了,4,岩崎麗子,B2,群馬,1.48,1.25,44,32.73,57,35.82,,49.9,23,,
2025-04-01,桐生,4,16:32,発売終了,5,金田幸子,A2,岡山,5.55,4.33,64,25.93,61,34.78,,44.0,45,,
2025-04-01,桐生,4,16:32,発売終了,6,登みひ果,B1,兵庫,4.24,2.61,60,34.0,56,42.25,,45.5,25,,
2025-04-01,桐生,5,17:01,発売終了,1,道上千夏,B1,香川,4.63,3.75,72,23.33,58,38.57,,49.9,53,,
2025-04-01,桐生,5,17:01,発売終了,2,櫻本あゆみ,A2,群馬,5.96,6.71,49,32.2,52,40.32,,47.9,37,,
2025-04-01,桐生,5,17:01,発売終了,3,奥村明日香,B1,福岡,4.35,3.0,55,28.89,69,18.33,,45.0,23,,
2025-04-01,桐生,5,17:01,発売終了,4,落合直子,A2,大阪,5.37,6.5,54,35.19,23,35.21,,47.1,40,,
2025-04-01,桐生,5,17:01,発売終了,5,飯塚響,B2,群馬,3.69,2.91,37,32.76,17,29.69,,45.0,25,,
2025-04-01,桐生,5,17:01,発売終了,6,石村日奈那,B2,東京,1.27,0.0,12,48.39,73,41.43,,47.0,23,,
2025-04-01,桐生,6,17:27,発売終了,1,川井萌,A1,静岡,6.21,3.53,30,52.63,44,20.0,,45.5,23,,
2025-04-01,桐生,6,17:27,発売終了,2,大廣咲季,B1,香川,3.03,1.67,75,16.22,64,24.62,,47.0,25,,
2025-04-01,桐生,6,17:27,発売終了,3,河内悠利杏,B1,群馬,2.19,1.58,21,28.89,39,22.73,,47.7,21,,
2025-04-01,桐生,6,17:27,発売終了,4,山下奈緒,B1,大阪,4.15,0.0,70,33.85,51,38.57,,47.6,29,,
2025-04-01,桐生,6,17:27,発売終了,5,平川香織,B1,埼玉,5.16,5.1,43,17.07,59,30.99,,47.0,24,,
2025-04-01,桐生,6,17:27,発売終了,6,山川波乙,B2,三重,4.28,6.4,51,55.36,66,15.94,,46.0,27,,
2025-04-01,桐生,7,17:52,発売終了,1,関野文,A1,大阪,5.7,6.1,15,18.42,46,38.46,,45.0,31,,
2025-04-01,桐生,7,17:52,発売終了,2,間庭菜摘,B1,福岡,4.85,0.0,26,28.26,63,22.39,,47.4,32,,
2025-04-01,桐生,7,17:52,発売終了,3,山崎小葉音,A2,群馬,4.6,5.59,74,33.33,29,38.71,,43.5,24,,
2025-04-01,桐生,7,17:52,発売終了,4,清水未唯,B1,滋賀,3.51,4.25,46,36.36,74,24.07,,,24,,
2025-04-01,桐生,7,17:52,発売終了,5,森陽多,B1,長崎,2.77,0.0,24,18.18,35,29.85,,47.2,20,,
2025-04-01,桐生,7,17:52,発売終了,6,坂野さくら,B1,福井,4.89,3.5,14,35.59,12,41.79,,47.2,28,,
2025-04-01,桐生,8,18:22,発売終了,1,岩崎芳美,A2,徳島,5.94,6.57,23,22.22,67,42.25,,48.4,52,,
2025-04-01,桐生,8,18:22,発売終了,2,川原愛未,B1,福岡,3.26,2.38,65,30.56,71,15.94,,51.6,22,,
2025-04-01,桐生,8,18:22,発売終了,3,福山恵里奈,B1,山口,3.89,0.0,41,27.12,37,34.78,,48.1,28,,
2025-04-01,桐生,8,18:22,発売終了,4,大石真央,B1,静岡,4.0,5.2,57,16.13,62,37.7,,46.0,26,,
2025-04-01,桐生,8,18:22,発売終了,5,松本晶恵,A2,群馬,4.98,7.62,19,17.65,34,33.33,,48.8,37,,
2025-04-01,桐生,8,18:22,発売終了,6,中曽瑠華,B2,東京,1.87,1.61,68,19.15,47,35.21,,53.6,24,,
2025-04-01,桐生,9,18:52,発売終了,1,高憧四季,B1,大阪,6.52,0.0,27,27.5,48,23.73,,44.5,25,,
2025-04-01,桐生,9,18:52,発売終了,2,松尾怜実,B1,福岡,3.43,4.93,18,22.45,45,38.81,,46.0,25,,
2025-04-01,桐生,9,18:52,発売終了,3,前田紗希,A1,埼玉,5.48,5.37,42,18.87,36,32.81,,46.5,32,,
2025-04-01,桐生,9,18:52,発売終了,4,飯塚響,B2,群馬,3.69,2.91,37,32.76,17,29.69,,45.0,25,,
2025-04-01,桐生,9,18:52,発売終了,5,佐々木裕美,A2,山口,4.58,7.5,32,27.66,40,40.58,,47.3,45,,
2025-04-01,桐生,9,18:52,発売終了,6,黒澤めぐみ,A2,東京,5.76,5.37,13,27.78,20,30.3,,47.2,35,,
2025-04-01,桐生,10,19:23,発売終了,1,清埜翔子,A2,埼玉,5.19,5.4,29,35.38,27,33.33,,47.0,33,,
2025-04-01,桐生,10,19:23,発売終了,2,金田幸子,A2,岡山,5.55,4.33,64,25.93,61,34.78,,44.0,45,,
2025-04-01,桐生,10,19:23,発売終了,3,西澤日花里,B1,長崎,4.88,4.2,59,29.27,25,33.82,,47.1,30,,
2025-04-01,桐生,10,19:23,発売終了,4,川井萌,A1,静岡,6.21,3.53,30,52.63,44,20.0,,45.5,23,,
2025-04-01,桐生,10,19:23,発売終了,5,湯淺紀香,B1,群馬,5.15,4.52,35,41.18,55,41.43,,47.1,26,,
2025-04-01,桐生,10,19:23,発売終了,6,奥村明日香,B1,福岡,4.35,3.0,55,28.89,69,18.33,,45.0,23,,
2025-04-01,桐生,11,19:56,発売終了,1,櫻本あゆみ,A2,群馬,5.96,6.71,49,32.2,52,40.32,,47.9,37,,
2025-04-01,桐生,11,19:56,発売終了,2,坂野さくら,B1,福井,4.89,3.5,14,35.59,12,41.79,,47.2,28,,
2025-04-01,桐生,11,19:56,発売終了,3,野田彩加,A2,山口,4.54,0.0,50,26.83,50,27.78,,50.2,21,,
2025-04-01,桐生,11,19:56,発売終了,4,平川香織,B1,埼玉,5.16,5.1,43,17.07,59,30.99,,47.0,24,,
2025-04-01,桐生,11,19:56,発売終了,5,野田部宏子,B1,福岡,5.35,4.0,56,40.91,18,35.71,,50.7,34,,
2025-04-01,桐生,11,19:56,発売終了,6,鎌倉涼,A1,大阪,6.26,7.67,34,28.57,70,32.39,,45.5,35,,
2025-04-01,桐生,12,20:30,発売終了,1,守屋美穂,A1,岡山,7.52,8.05,16,36.84,42,27.59,,45.5,36,,
2025-04-01,桐生,12,20:30,発売終了,2,長嶋万記,A1,静岡,6.33,0.0,20,33.33,75,33.8,,49.4,43,,
2025-04-01,桐生,12,20:30,発売終了,3,関野文,A1,大阪,5.7,6.1,15,18.42,46,38.46,,45.0,31,,
2025-04-01,桐生,12,20:30,発売終了,4,松本晶恵,A2,群馬,4.98,7.62,19,17.65,34,33.33,,48.8,37,,
2025-04-01,桐生,12,20:30,発売終了,5,日高逸子,A2,福岡,5.63,6.1,53,32.08,13,34.62,,45.0,63,,
2025-04-01,桐生,12,20:30,発売終了,6,落合直子,A2,大阪,5.37,6.5,54,35.19,23,35.21,,47.1,40,,
2025-04-01,戸田,1,10:47,発売終了,1,木村浩士,B1,群馬,4.81,4.84,26,32.89,49,36.23,,54.2,44,,
2025-04-01,戸田,1,10:47,発売終了,2,中嶋達也,B1,兵庫,4.41,4.2,27,36.02,31,30.71,,53.8,37,,
2025-04-01,戸田,1,10:47,発売終了,3,高橋勲,B1,東京,5.44,5.08,17,22.9,43,29.93,,55.8,57,,
2025-04-01,戸田,1,10:47,発売終了,4,稲生夏季,B1,東京,4.33,4.49,3,36.94,73,31.39,,49.0,34,,
2025-04-01,戸田,1,10:47,発売終了,5,川添英正,B1,福岡,4.42,0.0,19,38.67,50,30.71,,51.0,54,,
2025-04-01,戸田,1,10:47,発売終了,6,岩井繁,B1,広島,3.4,4.0,25,37.58,75,36.03,,58.5,51,,
2025-04-01,戸田,2,11:16,発売終了,1,福嶋智之,B1,岡山,4.53,5.13,42,37.66,76,27.41,,52.8,46,,
2025-04-01,戸田,2,11:16,発売終了,2,黒野元基,A1,愛知,6.01,6.37,13,24.8,42,36.23,,51.5,28,,
2025-04-01,戸田,2,11:16,発売終了,3,平見真彦,A2,愛知,6.59,4.63,12,45.71,71,39.42,,53.3,36,,
2025-04-01,戸田,2,11:16,発売終了,4,植竹玲奈,B2,東京,1.28,1.25,36,32.82,72,28.37,,53.9,18,,
2025-04-01,戸田,2,11:16,発売終了,5,金児隆太,A2,群馬,5.88,6.26,1,30.5,66,24.31,,52.3,37,,
2025-04-01,戸田,2,11:16,発売終了,6,小池公生,B1,福岡,5.48,5.0,22,37.32,13,28.36,,51.5,37,,
2025-04-01,戸田,3,11:45,発売終了,1,山地正樹,B1,岡山,5.04,3.67,20,37.86,64,37.06,,56.4,48,,
2025-04-01,戸田,3,11:45,発売終了,2,富永修一,A2,福岡,6.03,6.64,65,33.56,53,34.78,,52.2,43,,
2025-04-01,戸田,3,11:45,発売終了,3,大豆生田蒼,A2,埼玉,6.16,6.72,4,28.85,20,32.35,,46.5,30,,
2025-04-01,戸田,3,11:45,発売終了,4,伏見俊介,B1,東京,5.52,6.71,15,38.57,70,25.18,,54.0,33,,
2025-04-01,戸田,3,11:45,発売終了,5,小坂宗司,A2,大阪,5.77,4.5,8,35.5,65,35.25,,52.0,44,,
2025-04-01,戸田,3,11:45,発売終了,6,池田雄祐,A1,愛知,6.68,5.7,23,30.5,58,40.58,,51.0,36,,
2025-04-01,戸田,4,12:14,発売終了,1,伏田裕隆,B1,東京,4.46,4.38,9,36.08,59,26.47,,52.0,42,,
2025-04-01,戸田,4,12:14,発売終了,2,佐々木康幸,A1,静岡,6.4,7.0,38,39.49,27,41.91,,52.5,51,,
2025-04-01,戸田,4,12:14,発売終了,3,中野希一,A2,埼玉,6.32,6.43,30,30.88,32,39.86,,52.0,25,,
2025-04-01,戸田,4,12:14,発売終了,4,宇佐見淳,A2,愛知,6.46,7.11,35,29.77,19,34.56,,52.4,44,,
2025-04-01,戸田,4,12:14,発売終了,5,山本英志,A2,東京,5.38,6.81,37,28.47,55,30.71,,51.0,50,,
2025-04-01,戸田,4,12:14,発売終了,6,中嶋世奈,B2,静岡,1.6,0.0,14,51.53,60,40.43,,50.4,18,,
2025-04-01,戸田,5,12:44,発売終了,1,鈴木勝博,A2,愛知,6.55,6.29,44,36.42,69,32.33,,52.0,42,,
2025-04-01,戸田,5,12:44,発売終了,2,倉田茂将,B1,愛知,4.87,5.97,10,37.09,15,45.99,,54.3,26,,
