日付,レース場,レース番号,締切予定時刻,ステータス,艇番,選手名,級別,支部,全国勝率,全国2連率,当地勝率,当地2連率,モーター番号,モーター2連率,ボート番号,ボート2連率,体重,年齢,進入
2025-04-06,桐生,1,15:17,,1,飯塚響,B2,群馬,3.69,15.38,2.91,11.76,37,32.76,17,29.69,46.0,25,
2025-04-06,桐生,1,15:17,,2,野田彩加,A2,山口,4.54,23.36,0.0,0.0,50,26.83,14,36.99,50.6,21,
2025-04-06,桐生,1,15:17,,3,奥村明日香,B1,福岡,4.35,23.53,3.0,0.0,55,28.89,69,18.33,45.0,23,
2025-04-06,桐生,1,15:17,,4,河内悠利杏,B1,群馬,2.19,0.0,1.58,0.0,21,28.89,39,22.73,48.1,21,
2025-04-06,桐生,1,15:17,,5,中曽瑠華,B2,東京,1.87,0.0,1.61,0.0,68,19.15,47,35.21,54.9,24,
2025-04-06,桐生,1,15:17,,6,高橋涼夏,B2,群馬,1.15,0.0,1.17,0.0,17,7.89,68,42.62,46.5,17,
2025-04-06,桐生,2,15:40,,1,山下奈緒,B1,大阪,4.15,12.77,0.0,0.0,70,33.85,51,38.57,47.5,29,
2025-04-06,桐生,2,15:40,,2,岩崎麗子,B2,群馬,1.48,1.19,1.25,0.0,44,32.73,57,35.82,49.2,23,
2025-04-06,桐生,2,15:40,,3,間庭菜摘,B1,福岡,4.85,20.45,0.0,0.0,26,28.26,63,22.39,47.0,32,
2025-04-06,桐生,2,15:40,,4,佐々木裕美,A2,山口,4.58,30.61,7.5,65.0,32,27.66,40,40.58,47.1,45,
2025-04-06,桐生,2,15:40,,5,西澤日花里,B1,長崎,4.88,30.43,4.2,20.0,59,29.27,25,33.82,46.5,30,
2025-04-06,桐生,2,15:40,,6,石村日奈那,B2,東京,1.27,1.96,0.0,0.0,12,48.39,73,41.43,47.0,23,
2025-04-06,桐生,3,16:06,,1,高橋淳美,B2,大阪,2.92,7.69,5.4,30.0,48,22.92,15,33.96,46.5,61,
2025-04-06,桐生,3,16:06,,2,野田部宏子,B1,福岡,5.35,38.1,4.0,33.33,56,40.91,18,35.71,51.2,34,
2025-04-06,桐生,3,16:06,,3,大石真央,B1,静岡,4.0,18.39,5.2,20.0,57,16.13,62,37.7,46.5,26,
2025-04-06,桐生,3,16:06,,4,黒澤めぐみ,A2,東京,5.76,40.43,5.37,31.58,13,27.78,19,31.51,47.0,35,
2025-04-06,桐生,3,16:06,,5,森陽多,B1,長崎,2.77,9.52,0.0,0.0,24,18.18,35,29.85,47.3,20,
2025-04-06,桐生,3,16:06,,6,坂野さくら,B1,福井,4.89,29.03,3.5,18.75,14,35.59,12,41.79,47.0,28,
2025-04-06,桐生,4,16:32,,1,大廣咲季,B1,香川,3.03,9.8,1.67,0.0,75,16.22,28,32.88,46.0,25,
2025-04-06,桐生,4,16:32,,2,濱崎寿里矢,B2,埼玉,1.94,3.23,0.0,0.0,22,17.78,22,22.54,49.3,31,
