日付,レース場,レース番号,締切予定時刻,ステータス,艇番,選手名,級別,支部,全国勝率,全国2連率,当地勝率,当地2連率,モーター番号,モーター2連率,ボート番号,ボート2連率,展示タイム,体重,年齢,進入,ST
2025-04-02,桐生,7,17:57,投票,1,前田紗希,A1,埼玉,5.48,37.93,5.37,31.58,42,18.87,36,32.81,,46.5,32,,
2025-04-02,桐生,7,17:57,投票,2,野田部宏子,B1,福岡,5.35,38.1,4.0,33.33,56,40.91,18,35.71,,51.1,34,,
2025-04-02,桐生,7,17:57,投票,3,落合直子,A2,大阪,5.37,39.22,6.5,50.0,54,35.19,23,35.21,,47.0,40,,
2025-04-02,桐生,7,17:57,投票,4,山川波乙,B2,三重,4.28,19.44,6.4,50.0,51,55.36,66,15.94,,45.5,27,,
2025-04-02,桐生,7,17:57,投票,5,井上未都,B1,福岡,4.41,25.23,3.8,10.0,11,25.42,43,44.07,,46.5,22,,
2025-04-02,桐生,7,17:57,投票,6,高橋涼夏,B2,群馬,1.15,0.0,1.17,0.0,17,7.89,68,42.62,,46.5,17,,
2025-04-02,桐生,8,18:25,投票,1,金田幸子,A2,岡山,5.55,39.66,4.33,33.33,64,25.93,61,34.78,,44.0,45,,
2025-04-02,桐生,8,18:25,投票,2,河内悠利杏,B1,群馬,2.19,0.0,1.58,0.0,21,28.89,39,22.73,,47.7,21,,
2025-04-02,桐生,8,18:25,投票,3,飯塚響,B2,群馬,3.69,15.38,2.91,11.76,37,32.76,17,29.69,,45.0,25,,
2025-04-02,桐生,8,18:25,投票,4,川原愛未,B1,福岡,3.26,11.9,2.38,12.5,65,30.56,71,15.94,,50.5,22,,
2025-04-02,桐生,8,18:25,投票,5,長嶋万記,A1,静岡,6.33,44.09,0.0,0.0,20,33.33,75,33.8,,49.4,43,,
2025-04-02,桐生,8,18:25,投票,6,間庭菜摘,B1,福岡,4.85,20.45,0.0,0.0,26,28.26,63,22.39,,47.0,32,,
2025-04-02,桐生,9,18:54,投票,1,大石真央,B1,静岡,4.0,18.39,5.2,20.0,57,16.13,62,37.7,,46.0,26,,
2025-04-02,桐生,9,18:54,投票,2,湯淺紀香,B1,群馬,5.15,33.33,4.52,24.64,35,41.18,55,41.43,,47.0,26,,
2025-04-02,桐生,9,18:54,投票,3,濱崎寿里矢,B2,埼玉,1.94,3.23,0.0,0.0,22,17.78,22,22.54,,49.2,31,,
2025-04-02,桐生,9,18:54,投票,4,野田彩加,A2,山口,4.54,23.36,0.0,0.0,50,26.83,50,27.78,,50.1,21,,
2025-04-02,桐生,9,18:54,投票,5,道上千夏,B1,香川,4.63,25.93,3.75,12.5,72,23.33,58,38.57,,50.1,53,,
2025-04-02,桐生,9,18:54,投票,6,守屋美穂,A1,岡山,7.52,63.55,8.05,78.95,16,36.84,42,27.59,,45.5,36,,
2025-04-02,桐生,10,19:24,投票,1,佐々木裕美,A2,山口,4.58,30.61,7.5,65.0,32,27.66,40,40.58,,47.5,45,,
2025-04-02,桐生,10,19:24,投票,2,関野文,A1,大阪,5.7,38.79,6.1,50.0,15,18.42,46,38.46,,45.0,31,,
2025-04-02,桐生,10,19:24,投票,3,登みひ果,B1,兵庫,4.24,25.29,2.61,11.11,60,34.0,56,42.25,,46.5,25,,
2025-04-02,桐生,10,19:24,投票,4,大廣咲季,B1,香川,3.03,9.8,1.67,0.0,75,16.22,64,24.62,,46.5,25,,
2025-04-02,桐生,10,19:24,投票,5,奥村明日香,B1,福岡,4.35,23.53,3.0,0.0,55,28.89,69,18.33,,45.0,23,,
2025-04-02,桐生,10,19:24,投票,6,清埜翔子,A2,埼玉,5.19,35.96,5.4,43.33,29,35.38,27,33.33,,47.0,33,,
2025-04-02,桐生,11,19:57,投票,1,日高逸子,A2,福岡,5.63,40.91,6.1,50.0,53,32.08,13,34.62,,45.0,63,,
2025-04-02,桐生,11,19:57,投票,2,松本晶恵,A2,群馬,4.98,34.88,7.62,66.0,19,17.65,34,33.33,,48.9,37,,
2025-04-02,桐生,11,19:57,投票,3,西岡育未,B1,徳島,3.94,11.76,5.22,33.33,28,38.3,60,22.58,,47.0,30,,
2025-04-02,桐生,11,19:57,投票,4,西澤日花里,B1,長崎,4.88,30.43,4.2,20.0,59,29.27,25,33.82,,47.0,30,,
2025-04-02,桐生,11,19:57,投票,5,黒澤めぐみ,A2,東京,5.76,40.43,5.37,31.58,13,27.78,20,30.3,,47.1,35,,
2025-04-02,桐生,11,19:57,投票,6,井上未都,B1,福岡,4.41,25.23,3.8,10.0,11,25.42,43,44.07,,46.5,22,,
2025-04-02,桐生,12,20:30,投票,1,鎌倉涼,A1,大阪,6.26,47.5,7.67,77.78,34,28.57,70,32.39,,46.0,35,,
2025-04-02,桐生,12,20:30,投票,2,前田紗希,A1,埼玉,5.48,37.93,5.37,31.58,42,18.87,36,32.81,,46.5,32,,
2025-04-02,桐生,12,20:30,投票,3,川井萌,A1,静岡,6.21,46.88,3.53,23.53,30,52.63,44,20.0,,45.5,23,,
2025-04-02,桐生,12,20:30,投票,4,櫻本あゆみ,A2,群馬,5.96,46.43,6.71,53.85,49,32.2,52,40.32,,47.4,37,,
2025-04-02,桐生,12,20:30,投票,5,岩崎芳美,A2,徳島,5.94,39.51,6.57,52.38,23,22.22,67,42.25,,48.1,52,,
2025-04-02,桐生,12,20:30,投票,6,山崎小葉音,A2,群馬,4.6,28.57,5.59,44.44,74,33.33,29,38.71,,44.0,24,,
2025-04-02,戸田,1,10:47,発売終了,1,羽野諒,B1,福岡,4.33,18.68,4.45,20.0,7,36.88,77,27.27,,52.6,28,,
2025-04-02,戸田,1,10:47,発売終了,2,山下友貴,B1,静岡,5.27,34.09,0.0,0.0,40,27.48,68,40.88,,44.5,38,,
2025-04-02,戸田,1,10:47,発売終了,3,山地正樹,B1,岡山,5.04,29.46,3.67,22.22,20,37.86,64,37.06,,56.3,48,,
2025-04-02,戸田,1,10:47,発売終了,4,植竹玲奈,B2,東京,1.28,0.0,1.25,0.0,36,32.82,72,28.37,,53.5,18,,
2025-04-02,戸田,1,10:47,発売終了,5,岩井繁,B1,広島,3.4,9.09,4.0,12.5,25,37.58,75,36.03,,58.4,51,,
2025-04-02,戸田,1,10:47,発売終了,6,渥美卓郎,B1,静岡,4.72,27.61,4.0,13.33,32,26.43,51,22.97,,54.0,42,,
2025-04-02,戸田,2,11:16,発売終了,1,稲生夏季,B1,東京,4.33,16.87,4.49,20.0,3,36.94,73,31.39,,49.0,34,,
2025-04-02,戸田,2,11:16,発売終了,2,池田雄祐,A1,愛知,6.68,45.83,5.7,43.48,23,30.5,58,40.58,,51.0,36,,
2025-04-02,戸田,2,11:16,発売終了,3,中野希一,A2,埼玉,6.32,49.6,6.43,52.46,30,30.88,32,39.86,,52.3,25,,
2025-04-02,戸田,2,11:16,発売終了,4,池本輝明,B1,広島,4.67,23.28,4.83,25.0,2,33.1,33,23.88,,51.0,58,,
2025-04-02,戸田,2,11:16,発売終了,5,長谷川暖,B1,岡山,2.78,6.49,0.0,0.0,43,32.88,23,32.65,,52.0,20,,
2025-04-02,戸田,2,11:16,発売終了,6,鈴木勝博,A2,愛知,6.55,51.65,6.29,39.29,44,36.42,69,32.33,,52.4,42,,
2025-04-02,戸田,3,11:45,発売終了,1,吉田彩乃,B1,静岡,4.57,26.67,3.71,25.0,34,25.69,18,42.22,,47.8,24,,
2025-04-02,戸田,3,11:45,発売終了,2,野村誠,A2,群馬,6.49,48.53,6.08,37.25,33,35.17,41,38.52,,51.5,38,,
2025-04-02,戸田,3,11:45,発売終了,3,小山勉,A1,埼玉,6.22,45.74,5.7,33.65,48,39.49,37,29.93,,52.0,38,,
2025-04-02,戸田,3,11:45,発売終了,4,中嶋達也,B1,兵庫,4.41,24.55,4.2,26.67,27,36.02,31,30.71,,54.1,37,,
2025-04-02,戸田,3,11:45,発売終了,5,田中豪,A2,東京,6.3,44.44,4.53,25.0,29,33.1,11,21.68,,52.8,52,,
2025-04-02,戸田,3,11:45,発売終了,6,福嶋智之,B1,岡山,4.53,24.18,5.13,37.5,42,37.66,76,27.41,,53.1,46,,
2025-04-02,戸田,4,12:14,発売終了,1,大平誉史明,B1,大阪,5.27,36.36,6.33,51.85,39,31.93,61,41.84,,51.5,55,,
2025-04-02,戸田,4,12:14,発売終了,2,渡辺千草,B1,東京,5.28,29.29,5.31,12.5,5,36.0,16,37.12,,49.5,61,,
2025-04-02,戸田,4,12:14,発売終了,3,島田賢人,A1,埼玉,6.24,43.01,7.01,53.85,18,37.04,34,33.81,,52.7,36,,
2025-04-02,戸田,4,12:14,発売終了,4,金児隆太,A2,群馬,5.88,41.18,6.26,50.0,1,30.5,66,24.31,,52.0,37,,
2025-04-02,戸田,4,12:14,発売終了,5,富永修一,A2,福岡,6.03,43.36,6.64,51.52,65,33.56,53,34.78,,52.6,43,,
2025-04-02,戸田,4,12:14,発売終了,6,中嶋世奈,B2,静岡,1.6,1.54,0.0,0.0,14,51.53,60,40.43,,50.2,18,,
2025-04-02,戸田,5,12:44,発売終了,1,大豆生田蒼,A2,埼玉,6.16,45.45,6.72,55.81,4,28.85,20,32.35,,47.0,30,,
2025-04-02,戸田,5,12:44,発売終了,2,西村豪洋,B1,愛知,4.94,24.42,4.74,25.81,6,23.7,24,36.96,,52.8,37,,
2025-04-02,戸田,5,12:44,発売終了,3,伏見俊介,B1,東京,5.52,37.97,6.71,57.14,15,38.57,70,25.18,,53.9,33,,
2025-04-02,戸田,5,12:44,発売終了,4,尾嶋一広,A1,兵庫,7.03,54.48,5.88,38.46,28,33.56,26,28.15,,54.3,37,,
2025-04-02,戸田,5,12:44,発売終了,5,山下友貴,B1,静岡,5.27,34.09,0.0,0.0,40,27.48,68,40.88,,44.5,38,,
2025-04-02,戸田,5,12:44,発売終了,6,川添英正,B1,福岡,4.42,23.91,0.0,0.0,19,38.67,50,30.71,,51.5,54,,
2025-04-02,戸田,6,13:14,発売終了,1,倉田茂将,B1,愛知,4.87,29.63,5.97,46.67,10,37.09,15,45.99,,54.3,26,,
2025-04-02,戸田,6,13:14,発売終了,2,松村敏,A1,福岡,7.02,56.32,6.89,22.22,64,29.57,12,34.78,,53.1,41,,
2025-04-02,戸田,6,13:14,発売終了,3,宇佐見淳,A2,愛知,6.46,49.0,7.11,54.05,35,29.77,19,34.56,,52.0,44,,
2025-04-02,戸田,6,13:14,発売終了,4,下河誉史,A2,福岡,5.52,37.88,6.39,38.89,16,37.25,44,36.17,,54.3,42,,
2025-04-02,戸田,6,13:14,発売終了,5,植竹玲奈,B2,東京,1.28,0.0,1.25,0.0,36,32.82,72,28.37,,53.5,18,,
2025-04-02,戸田,6,13:14,発売終了,6,佐竹太一,B1,兵庫,4.72,26.36,3.5,22.73,11,35.92,30,35.86,,52.3,38,,
2025-04-02,戸田,7,13:45,発売終了,1,佐々木康幸,A1,静岡,6.4,47.24,7.0,57.58,38,39.49,27,41.91,,52.2,51,,
