選手登録番,レースID,艇番,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,会場,日付,着,選手名,展示タイム,天候,風向,風量,波,単勝オッズ
4128,202403292408,3,44,東京,55,B1,5.48,34.68,4.90,30.00,30.27,34.92,24,2024-03-29,06,川口貴久,7.02,晴,南,3,2,240
3257,202403292408,4,,,,,実56福岡52A1,6.61,54.44,8.53,57,68,24,2024-03-29,01,田頭実,7.00,晴,南,3,2,260
4347,202403292408,5,38,福岡,44,A1,6.51,43.81,0.00,0.00,30.53,36.70,24,2024-03-29,03,魚谷香織,6.93,晴,南,3,2,614
3661,202403292408,6,54,山口,58,B1,5.46,33.33,4.38,14.29,24.60,41.40,24,2024-03-29,04,柳瀬興志,6.95,晴,南,3,2,460
3963,202403292409,1,45,大阪,56,A2,6.22,50.43,4.81,31.25,28.57,33.69,24,2024-03-29,01,原田秀弥,6.98,晴,南,2,1,120
4600,202403292409,2,39,広島,51,A1,6.03,43.24,6.33,44.44,41.88,31.52,24,2024-03-29,05,井内将太郎,6.96,晴,南,2,1,770
3484,202403292409,3,52,兵庫,54,A2,5.96,43.65,5.70,40.74,25.13,34.78,24,2024-03-29,03,芝田浩治,7.00,晴,南,2,1,240
4498,202403292409,4,36,長崎,54,B1,5.60,37.50,5.99,43.46,36.22,32.11,24,2024-03-29,02,宮本夏樹,6.95,晴,南,2,1,260
4196,202403292409,5,42,佐賀,53,B1,4.36,24.14,4.92,35.90,24.48,22.87,24,2024-03-29,06,田中太一郎,7.04,晴,南,2,1,548
4931,202403292409,6,28,香川,54,A2,5.95,38.30,6.55,50.00,36.46,32.28,24,2024-03-29,04,木谷賢太,6.97,晴,南,2,1,570
4512,202403292410,1,34,兵庫,52,A1,6.23,47.45,5.41,31.03,47.62,36.26,24,2024-03-29,01,高野哲史,6.87,晴,南東,2,1,120
3771,202403292410,2,50,東京,51,A2,5.66,36.73,4.67,22.22,39.47,43.98,24,2024-03-29,03,折下寛法,6.97,晴,南東,2,1,770
4184,202403292410,3,37,大阪,52,A1,6.38,49.11,6.28,55.17,24.35,42.16,24,2024-03-29,02,渡邊雄一郎,6.91,晴,南東,2,1,240
3944,202403292410,4,45,長崎,54,A2,5.57,36.28,6.44,47.78,37.50,35.33,24,2024-03-29,04,山口裕二,6.93,晴,南東,2,1,840
4348,202403292410,5,,,,,奨38香川54A2,6.42,43.52,5.85,18,69,24,2024-03-29,05,宮崎奨,6.95,晴,南東,2,1,484
4661,202403292410,6,32,佐賀,52,A2,6.29,43.80,5.09,29.55,36.79,36.98,24,2024-03-29,06,中島昂章,6.93,晴,南東,2,1,720
3721,202403292411,1,48,滋賀,53,A1,7.98,72.41,6.60,60.00,24.73,37.50,24,2024-03-29,01,守田俊介,7.00,晴,南東,1,1,120
4723,202403292411,2,38,東京,50,A2,5.27,36.26,5.21,47.37,26.18,31.91,24,2024-03-29,04,寺島吉彦,6.89,晴,南東,1,1,770
4630,202403292411,3,37,愛知,52,A2,5.82,36.69,5.41,34.15,25.00,32.07,24,2024-03-29,02,岩永雅人,6.88,晴,南東,1,1,400
